temperature(C),wind speed(m/s),wind direction,humidity(%),vapor pressure(hPa),dew point(C),atmospheric pressure(hPa),Sea level pressure(hPa),insolation time(hr),insolation(MJ/m2),cloud,weather label
23.1,1.3,90,84,23.7,20.2,999.3,1005.5,,,10,1
25.5,1.1,70,63,20.5,17.9,1017.3,1018.8,0.9,,4,0
4.2,2.1,250,88,7.2,2.3,1002.9,1030.4,,,8,1
5.4,1,90,21,1.9,-15.2,1027.4,1030.8,1,,6,3
23.6,2.7,250,26,7.5,2.9,1004.1,1014.4,1,3.39,0,0
2.1,9.2,20,87,6.2,0.1,1018.5,1024.1,0,0.03,9,3
24.2,0,0,98,29.5,23.8,1011.2,1014.1,,,5,0
27.8,1.9,50,75,27.9,22.9,993.7,1001.5,0.3,0.32,0,0
23.4,1.5,270,93,26.6,22.1,1005.5,1014.8,,,7,2
0.1,0.1,0,58,3.6,-7.2,1014.9,1022.4,,,6,3
-4.7,0.7,250,77,3.3,-8.1,1004.9,1027.1,,,10,3
12.5,0.7,230,51,7.4,2.6,1002,1009,,,10,3
0.3,11.6,360,70,4.4,-4.5,1018.3,1027.9,0,0.21,10,3
35,1.4,290,47,26.3,21.9,1003.1,1008.5,0.5,1.42,4,0
18.4,0.4,0,98,20.6,18,1004.3,1007.3,0,0.04,9,3
22.8,0.4,0,91,25.2,21.2,1006.3,1010.9,,,0,0
31,1.8,230,64,28.6,23.3,997.7,1006.1,0,0.01,0,0
11.5,4.3,110,34,4.6,-3.8,995,1023.9,0.6,,8,3
26.2,0.6,50,83,28.1,23,986.7,1012.4,0.9,0.89,0,0
18.2,2.4,360,93,19.4,17,1008.7,1012,,,10,1
-1.7,0.8,290,69,3.7,-6.6,1009.4,1026.4,0.8,,0,0
26.2,4.7,250,94,31.9,25.1,1000.6,1010.3,0,0.01,10,1
7.8,1.4,320,80,8.4,4.5,1020.3,1028.7,,,0,0
10.6,2.2,250,77,9.8,6.7,1010.8,1015.6,,,0,2
5.9,3.6,180,97,9,5.4,1010.6,1019.9,0.1,0.07,0,2
1.5,0.2,0,51,3.5,-7.5,968.3,1018.2,,,0,0
12.2,3.2,70,59,8.4,4.4,1013.8,1018.1,0,1.01,9,3
3,2.8,110,22,1.7,-16.7,1010,1018.7,,,6,3
30.2,1.1,230,66,28.3,23.1,990.9,1007.6,0,0.15,8,3
15.9,2.8,230,78,14,12,969.2,999.7,0,,9,3
7.7,1.1,230,57,6,-0.2,1018.1,1023.1,0.1,0.3,9,3
26.4,0.7,290,92,31.5,24.9,990.6,999.7,0,0.05,10,1
11,0.2,0,56,7.3,2.5,1017.1,1017.6,,,6,3
32.2,3.3,230,67,32.1,25.2,1001.2,1011.9,0.3,1.28,6,1
9,4.1,160,69,7.9,3.6,1009.2,1015.6,,,8,3
11.2,0.8,140,82,10.9,8.2,1016.6,1024,,,7,2
7.8,0.8,50,71,7.5,2.8,1022.9,1023.3,1,1.09,0,2
29.7,4.7,250,74,30.7,24.5,1003.9,1011.9,1,2.83,1,0
23,1,110,91,25.5,21.4,999.9,1004.5,0,0,7,2
0.8,0.8,70,87,5.6,-1.1,1009.8,1028.8,0.9,1.75,2,0
7.1,0.2,0,77,7.7,3.3,1005.5,1014.1,0,0.08,0,2
21.4,1.1,320,94,23.8,20.3,1007.1,1015.1,0,0.2,10,1
27.8,6.9,230,92,34.2,26.3,998.3,1005.7,,,8,1
23.4,1.1,290,95,27.2,22.5,996.9,1002.9,0,0.01,3,0
24.9,0.2,0,85,26.6,22.1,1008.5,1011.6,,,0,0
25.6,1.1,20,88,28.8,23.4,999.2,1010.1,,,0,0
25.7,0.4,0,78,25.6,21.5,997.7,1008.6,,,1,0
12.1,1.3,200,44,6.2,0.1,1012.2,1019.5,1,2.32,0,2
20.5,0,0,94,22.5,19.4,1006,1014.2,0,0.34,10,1
21,0.3,0,96,23.8,20.3,996.4,1012.7,,,10,1
-0.6,0.1,0,94,5.5,-1.4,985.5,1018.6,0,,0,0
13.7,2,320,62,9.7,6.5,1018.2,1024.1,0,,0,0
18.8,7.8,90,94,20.4,17.8,1006.5,1014.2,0,0.27,10,1
19.6,5.7,290,52,11.8,9.4,1015.4,1015.6,1,2.5,0,0
6.7,2.4,230,44,4.3,-4.7,1008,1019.9,,,2,0
14.3,5.2,180,56,9.1,5.6,1010.9,1019.2,1,2.83,1,0
18.2,2.4,70,73,15.2,13.2,994.1,1002.2,0,0.01,10,1
21.6,1.1,50,75,19.2,16.9,1009.1,1018.5,0,0.75,9,1
-0.4,3.2,290,54,3.2,-8.5,1000.7,1020.3,1,0.76,0,0
11.3,1.3,180,77,10.3,7.4,1015,1019.4,,,3,2
9.4,4.8,180,89,10.4,7.6,1012.1,1013.3,0,0.1,0,0
7.1,2.6,230,96,9.7,6.5,1006.3,1011.2,,,9,2
-2.3,2.8,270,37,1.9,-15,1021.1,1030,1,0.78,0,0
15.9,1.1,50,89,16,14,1005,1012.8,,,0,2
20.4,3.8,50,86,20.5,17.9,1012.6,1013,0,0.13,10,1
8.8,1.3,270,67,7.5,2.9,1009.8,1017,,,0,2
19.5,3.9,270,21,4.8,-3.4,991.9,1011.7,1,,0,0
8,1,140,60,6.4,0.6,1012.3,1019.5,0,0,0,2
17.9,3.3,50,97,19.9,17.4,1007.7,1015.8,,,10,1
20.4,5.3,340,100,23.8,20.3,1008.7,1013.9,,,10,1
25.6,2.2,270,89,29.1,23.6,1008.8,1011.1,,,1,0
23.1,1.8,230,78,22,19,995.2,1002.9,,,5,0
14.2,1.8,270,69,11.1,8.5,1013.5,1023.8,,,8,2
7.1,2.7,340,76,7.6,3.1,1013.8,1014.2,,,10,1
21,2,110,81,20.1,17.6,999.7,1006,0,0.06,8,3
14.9,2.1,50,31,5.2,-2.1,1008.3,1014.5,,,0,2
1.3,9.2,320,79,5.3,-1.9,1014.5,1020.1,,,9,4
29.2,1.2,20,71,28.6,23.3,1002.2,1008.8,0.7,1.06,1,0
11.1,1.6,200,81,10.6,7.9,997.9,1008.2,0.4,0.26,0,2
5.7,10.4,90,89,8.1,4,993.1,1020.2,,,10,1
13.9,7.5,160,88,13.9,11.9,1001.7,1010.6,0,1.03,10,2
14.3,0,0,82,13.3,11.2,1008.3,1012.3,,,0,0
-0.1,4.8,270,21,1.3,-19.8,1020.2,1027.1,,,0,0
-0.3,0.3,0,73,4.4,-4.5,1008.2,1030.1,1,,0,0
8.3,2.5,270,33,3.6,-7,1020.1,1027.4,0.4,0.96,8,4
3.8,2.9,290,22,1.8,-16,1015.3,1027.4,0.3,,1,0
27.1,2.4,200,88,31.5,24.9,1007.5,1015.2,,,3,0
